Prompt_ID,Day,Time,ChatGPT_Model,Problem_ID,Problem_Type,Difficulty,Language,Runtime (ms),Memory_Usage (mb),Iteration,Success,Percentile runtime,Percentile memory,Acceptance rate,GitHub_ID,wifi
1,2023-04-04,13.33,GPT4,792. Number of Matching Subsequences,Math,Medium,C++,153,40.1,2,Yes,96.88%,85.89%,51.6%,792,
1,2023-04-04,13.35,GPT4,"60. Permutation Sequence
",Math,Hard,C++,4,6.0,1,Yes,55.24%,83.52%,44.4%,60,
1,2023-04-04,13.38,GPT4,224. Basic Calculator,Math,Hard,C++,7,8.1,1,Yes,84.62%,43.48%,42.4%,224,
1,2023-04-04,13.42,GPT4,"273. Integer to English Words
",Math,Hard,C++,-,-,1,No,-,-,30.0%,273,
1,2023-04-04,13.44,GPT4,"273. Integer to English Words
",Math,Hard,C++,4,7.4,2,Yes,57.81%,16.86%,30.0%,273,
,,,,,,,,,,,,,,,,
1,2023-04-04,13.53,GPT4,"202. Happy Number
",Hash Table,Easy,C++,0,6.0,1,Yes,100.0%,55.11%,54.8%,202,
1,2023-04-04,13.59,GPT4,205. Isomorphic Strings,Hash Table,Easy,C++,6,6.9,1,Yes,73.74%,74.77%,42.9%,205,
1,2023-04-04,14.02,GPT4,242. Valid Anagram,Hash Table,Easy,C++,3,7.3,1,Yes,97.33%,60.92%,63.1%,242,
1,2023-04-04,14.06,GPT4,"49. Group Anagrams
",Hash Table,Medium,C++,31,19.7,1,Yes,89.59%,82.43%,66.7%,49,
1,2023-04-04,14.14,GPT4,"12. Integer to Roman
",Hash Table,Medium,C++,7,8.7,1,Yes,75.93%,35.38%,62.0%,12,
1,2023-04-04,14.18,GPT4,"139. Word Break
",Hash Table,Medium,C++,20,13.4,1,Yes,38.40%,33.21%,45.6%,139,
1,2023-04-04,14.31,GPT4,41. First Missing Positive,Hash Table,Hard,C++,72,41.2,1,Yes,40.86%,34.15%,36.7%,41,
1,2023-04-04,14.35,GPT4,"632. Smallest Range Covering Elements from K Lists
",Hash Table,Hard,C++,56,14.5,1,Yes,84.63%,90.57%,61.0%,632,
1,2023-04-04,14.40,GPT4,"815. Bus Routes
",Hash Table,Hard,C++,333,110.1,1,Yes,29.79%,9.58%,45.6%,815,
,,,,,,,,,,,,,,,,
1,2023-04-05,14.52,GPT4,35. Search Insert Position,Binary Search,Easy,C++,3,9.7,1,Yes,88.92%,79.97%,43.4%,35,
1,2023-04-05,14.57,GPT4,268. Missing Number,Binary Search,Easy,C++,16,17.9,1,Yes,87.87%,70.2%,62.6%,268,
1,2023-04-05,15.04,GPT4,278. First Bad Version,Binary Search,Easy,C++,0,5.8,1,Yes,100.0%,98.36%,43.3%,278,
1,2023-04-05,15.10,GPT4,162. Find Peak Element,Binary Search,Medium,C++,4,8.8,1,Yes,72.75%,78.55%,46.0%,162,
1,2023-04-05,15.15,GPT4,456. 132 Pattern,Binary Search,Medium,C++,80,38.8,1,Yes,50.31%,24.76%,32.4%,456,
1,2023-04-05,15.22,GPT4,540. Single Element in a Sorted Array,Binary Search,Medium,C++,27,22.4,1,Yes,74.84%,62.89%,59.1%,540,
1,2023-04-05,15.29,GPT4,154. Find Minimum in Rotated Sorted Array II,Binary Search,Hard,C++,6,12.3,1,Yes,60.42%,76.40%,43.5%,154,
1,2023-04-05,15.35,GPT4,315. Count of Smaller Numbers After Self,Binary Search,Hard,C++,315,86.8,1,Yes,87.11%,92.98%,42.6%,315,
1,2023-04-05,15.42,GPT4,354. Russian Doll Envelopes,Binary Search,Hard,C++,366,77.4,1,Yes,86.30%,94.9%,37.9%,354,
,,,,,,,,,,,,,,,,
1,2023-04-05,15.50,GPT4,70. Climbing Stairs,Dynamic Programming,Easy,C++,0,6.2,1,Yes,100.0%,38.0%,52.2%,70,
1,2023-04-05,15.56,GPT4,338. Counting Bits,Dynamic Programming,Easy,C++,4,7.7,1,Yes,82.57%,98.87%,75.8%,338,
1,2023-04-05,16.02,GPT4,392. Is Subsequence,Dynamic Programming,Easy,C++,0,6.4,1,Yes,100.0%,75.9%,47.6%,392,
1,2023-04-05,16.09,GPT4,22. Generate Parentheses,Dynamic Programming,Medium,C++,4,11.3,1,Yes,63.75%,91.66%,72.5%,22,
1,2023-04-05,16.13,GPT4,53. Maximum Subarray,Dynamic Programming,Medium,C++,115,67.7,1,Yes,68.33%,63.61%,50.2%,53,
1,2023-04-05,16.18,GPT4,91. Decode Ways,Dynamic Programming,Medium,C++,0,6.1,1,Yes,100.0%,79.62%,32.7%,91,
1,2023-04-05,16.23,GPT4,32. Longest Valid Parentheses,Dynamic Programming,Hard,C++,8,7.3,1,Yes,28.79%,47.31%,32.8%,32,
1,2023-04-05,16.27,GPT4,44. Wildcard Matching,Dynamic Programming,Hard,C++,103,11.3,1,Yes,23.25%,64.9%,"26.9%
",44,
1,2023-04-05,16.32,GPT4,72. Edit Distance,Dynamic Programming,Hard,C++,20,9.0,1,Yes,34.88%,60.21%,54.4%,72,
,,,,,,,,,,,,,,,,
1,2023-04-06,09.17,GPT4,455. Assign Cookies,Greedy,Easy,C++,24,17.3,1,Yes,93.39%,98.80%,49.9%,455,
1,2023-04-06,09.22,GPT4,561. Array Partition,Greedy,Easy,C++,43,28.4,1,Yes,98.67%,9.92%,77.2%,561,
1,2023-04-06,09.25,GPT4,605. Can Place Flowers,Greedy,Easy,C++,22,20.4,1,Yes,29.60%,30.68%,32.8%,605,
1,2023-04-06,09.30,GPT4,122. Best Time to Buy and Sell Stock II,Greedy,Medium,C++,7,13.0,1,Yes,71.46%,66.42%,63.9%,122,
1,2023-04-06,09.34,GPT4,134. Gas Station,Greedy,Medium,C++,140,108.5,1,Yes,53.92%,99.46%,46.1%,134,
1,2023-04-06,09.39,GPT4,45. Jump Game II,Greedy,Medium,C++,19,16.6,1,Yes,55.74%,50.78%,39.8%,45,
1,2023-04-06,09.42,GPT4,"135. Candy
",Greedy,Hard,C++,19,17.8,1,Yes,86.36%,37.18%,41.0%,135,
1,2023-04-06,09.46,GPT4,321. Create Maximum Number,Greedy,Hard,C++,-,-,1,No,-,-,29.0%,321,
1,2023-04-06,09.50,GPT4,321. Create Maximum Number,Greedy,Hard,C++,37,17.3,2,Yes,88.35%,87.15%,29.0%,321,
1,2023-04-06,09.54,GPT4,420. Strong Password Checker,Greedy,Hard,C++,-,-,1,No,-,-,13.7%,420,
1,2023-04-06,09.58,GPT4,420. Strong Password Checker,Greedy,Hard,C++,3,6.1,2,Yes,43.16%,75.8%,13.7%,420,
,,,,,,,,,,,,,,,,
1,2023-04-10,16.45,GPT4,225. Implement Stack using Queues,Stack,Easy,C++,4,7.0,1,Yes,34.34%,38.91%,58.7%,225,
1,2023-04-10,16.51,GPT4,496. Next Greater Element I,Stack,Easy,C++,3,9.0,1,Yes,95.45%,21.46%,71.4%,496,
1,2023-04-10,16.59,GPT4,682. Baseball Game,Stack,Easy,C++,0,8.3,1,Yes,100.0%,95.42%,74.4%,682,
1,2023-04-10,17.04,GPT4,155. Min Stack,Stack,Medium,C++,16,16.4,1,Yes,96.18%,64.57%,52.3%,155,
1,2023-04-10,17.09,GPT4,71. Simplify Path,Stack,Medium,C++,3,9.4,1,Yes,92.36%,66.48%,39.3%,71,
1,2023-04-10,17.13,GPT4,739. Daily Temperatures,Stack,Medium,C++,193,103.1,1,Yes,87.54%,34.33%,66.3%,739,
1,2023-04-10,17.15,GPT4,736. Parse Lisp Expression,Stack,Hard,C++,-,-,1,No,-,-,51.6%,736,
1,2023-04-10,17.19,GPT4,736. Parse Lisp Expression,Stack,Hard,C++,-,-,2,No,-,-,51.6%,736,
1,2023-04-10,17.24,GPT4,736. Parse Lisp Expression,Stack,Hard,C++,-,-,3,No,-,-,51.6%,736,
1,2023-04-10,17.28,GPT4,591. Tag Validator,Stack,Hard,C++,-,-,1,No,-,-,37.2%,591,
1,2023-04-10,17.33,GPT4,591. Tag Validator,Stack,Hard,C++,-,-,2,No,-,-,37.2%,591,
1,2023-04-10,17.36,GPT4,591. Tag Validator,Stack,Hard,C++,-,-,3,No,-,-,37.2%,591,
1,2023-04-10,17.41,GPT4,726. Number of Atoms,Stack,Hard,C++,0,7.2,1,Yes,100.0%,35.82%,52.2%,726,
,,,,,,,,,,,,,,,,
1,2023-04-10,17.53,GPT4,232. Implement Queue using Stacks,Queue,Easy,C++,5,7.0,1,Yes,11.65%,82.25%,63.2%,232,
1,2023-04-10,18.01,GPT4,387. First Unique Character in a String,Queue,Easy,C++,43,10.7,1,Yes,54.81%,75.22%,59.6%,387,
1,2023-04-10,18.09,GPT4,933. Number of Recent Calls,Queue,Easy,C++,153,57.4,1,Yes,51.2%,63.18%,73.2%,933,
1,2023-04-10,18.12,GPT4,341. Flatten Nested List Iterator,Queue,Medium,C++,23,14.4,1,Yes,14.46%,31.75%,61.8%,341,
1,2023-04-10,18.19,GPT4,649. Dota2 Senate,Queue,Medium,C++,6,8.1,1,Yes,80.66%,37.96%,40.6%,649,
1,2023-04-10,18.26,GPT4,918. Maximum Sum Circular Subarray,Queue,Medium,C++,70,39.9,1,Yes,56.59%,78.32%,43.0%,918,
1,2023-04-10,18.33,GPT4,862. Shortest Subarray with Sum at Least K,Queue,Hard,C++,-,-,1,No,-,-,26.0%,862,
1,2023-04-10,18.38,GPT4,862. Shortest Subarray with Sum at Least K,Queue,Hard,C++,248,104.8,2,Yes,79.41%,82.1%,26.0%,862,
1,2023-04-10,18.55,GPT4,1425. Constrained Subsequence Sum,Queue,Hard,C++,303,122.1,1,Yes,64.86%,55.60%,47.6%,1425,
1,2023-04-10,19.20,GPT4,936. Stamping The Sequence,Queue,Hard,C++,8,7.7,1,Yes,80.15%,57.35%,62.8%,936,
,,,,,,,,,,,,,,,,
2,2023-04-13,12.31,GPT4,1. Two Sum,Array,Easy,C++,12,10.9,1,Yes,80.42%,39.71%,49.7%,1,
2,2023-04-13,12.35,GPT4,26. Remove Duplicates from Sorted Array,Array,Easy,C++,19,18.3,1,Yes,25.68%,79.35%,51.6%,26,
2,2023-04-13,12.40,GPT4,88. Merge Sorted Array,Array,Easy,C++,0,9.2,1,Yes,100.0%,35.64%,46.7%,88,
2,2023-04-13,12.45,GPT4,34. Find First and Last Position of Element in Sorted Array,Array,Medium,C++,7,13.7,1,Yes,78.26%,23.14%,41.9%,34,
2,2023-04-13,12.50,GPT4,128. Longest Consecutive Sequence,Array,Medium,C++,136,45.6,1,Yes,70.16%,76.41%,48.5%,128,
2,2023-04-13,12.55,GPT4,204. Count Primes,Array,Medium,C++,300,10.3,1,Yes,31.70%,29.65%,33.1%,204,
2,2023-04-13,13.00,GPT4,4. Median of Two Sorted Arrays,Array,Hard,C++,52,89.3,1,Yes,26.14%,75.1%,36.2%,4,
2,2023-04-13,13.05,GPT4,140. Word Break II,Array,Hard,C++,0,7.6,1,Yes,100.0%,13.27%,45.3%,140,
2,2023-04-13,13.10,GPT4,336. Palindrome Pairs,Array,Hard,C++,2790,572.9,1,Yes,6.26%,49.88%,35.0%,336,
,,,,,,,,,,,,,,,,
2,2023-04-14,12.26,GPT4,28. Find the Index of the First Occurrence in a String,String,Easy,C++,4,6.4,1,Yes,38.78%,31.14%,39.1%,28,
2,2023-04-14,12.31,GPT4,58. Length of Last Word,String,Easy,C++,0,6.5,1,Yes,100.0%,92.75%,43.0%,58,
2,2023-04-14,12.36,GPT4,125. Valid Palindrome,String,Easy,C++,4,7.3,1,Yes,71.51%,94.19%,44.4%,125,
2,2023-04-14,12.42,GPT4,3. Longest Substring Without Repeating Characters,String,Medium,C++,19,8.3,1,Yes,63.58%,65.12%,33.8%,3,
2,2023-04-14,12.47,GPT4,151. Reverse Words in a String,String,Medium,C++,0,8.2,1,Yes,100.0%,44.99%,32.8%,151,
2,2023-04-14,12.52,GPT4,43. Multiply Strings,String,Medium,C++,12,6.8,1,Yes,36.61%,67.7%,39.2%,43,
2,2023-04-14,12.56,GPT4,301. Remove Invalid Parentheses,String,Hard,C++,68,16.9,1,Yes,80.2%,68.27%,47.2%,301,
2,2023-04-14,13.01,GPT4,10. Regular Expression Matching,String,Hard,C++,6,6.9,1,Yes,57.61%,52.43%,28.0%,10,
2,2023-04-14,13.06,GPT4,214. Shortest Palindrome,String,Hard,C++,4,7.9,1,Yes,65.50%,54.35%,32.3%,214,
,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
2,2023-04-14,14.10,GPT4,217. Contains Duplicate,Sorting,Easy,C++,150,69.3,1,Yes,44.79%,65.38%,61.4%,217,
2,2023-04-14,14.15,GPT4,169. Majority Element,Sorting,Easy,C++,20,19.6,1,Yes,65.99%,37.37%,63.9%,169,
2,2023-04-14,14.14,GPT4,389. Find the Difference,Sorting,Easy,C++,5,6.7,1,Yes,38.22%,75.16%,59.9%,389,
2,2023-04-14,14.18,GPT4,75. Sort Colors,Sorting,Medium,C++,6,8.4,1,Yes,22.98%,31.56%,58.6%,75,
2,2023-04-14,14.22,GPT4,179. Largest Number,Sorting,Medium,C++,10,11.5,1,Yes,47.21%,28.62%,34.6%,179,
2,2023-04-14,14.27,GPT4,611. Valid Triangle Number,Sorting,Medium,C++,105,13.1,1,Yes,64.62%,11.91%,50.6%,611,
2,2023-04-14,14.31,GPT4,164. Maximum Gap,Sorting,Hard,C++,246,85.7,1,Yes,28.14%,41.13%,43.4%,164,
2,2023-04-14,14.35,GPT4,899. Orderly Queue,Sorting,Hard,C++,6,10.6,1,Yes,33.33%,55.76%,66.2%,899,
2,2023-04-14,14.39,GPT4,220. Contains Duplicate III,Sorting,Hard,C++,189,79.2,1,Yes,89.70%,39.93%,22.2%,220,
,,,,,,,,,,,,,,,,
2,2023-04-14,14.40,GPT4,9. Palindrome Number,Math,Easy,C++,19,5.9,1,Yes,44.58%,85.62%,53.6%,9,
2,2023-04-14,14.44,GPT4,66. Plus One,Math,Easy,C++,6,8.7,1,Yes,20.88%,89.4%,43.7%,66,
2,2023-04-14,14.49,GPT4,69. Sqrt(x),Math,Easy,C++,0,5.8,1,Yes,100.0%,99.92%,37.4%,69,
2,2023-04-14,14.53,GPT4,7. Reverse Integer,Math,Medium,C++,-,-,1,No,-,-,27.5%,7,
2,2023-04-14,14.55,GPT4,7. Reverse Integer,Math,Medium,C++,0,6,2,Yes,100.0%,64.97%,27.5%,7,
2,2023-04-14,14.59,GPT4,189. Rotate Array,Math,Medium,C++,35,25,1,Yes,42.61%,86.1%,39.4%,189,
2,2023-04-14,15.03,GPT4,792. Number of Matching Subsequences,Math,Medium,C++,256,51.5,1,Yes,66.19%,70.66%,51.6%,792,
2,2023-04-17,12.53,GPT4,60. Permutation Sequence,Math,Hard,C++,0,6.1,1,Yes,100.0%,55.24%,44.4%,60,
2,2023-04-17,12.58,GPT4,224. Basic Calculator,Math,Hard,C++,-,-,1,No,-,-,42.4%,224,
2,2023-04-17,13.02,GPT4,224. Basic Calculator,Math,Hard,C++,-,-,2,No,-,-,42.4%,224,
2,2023-04-17,13.05,GPT4,224. Basic Calculator,Math,Hard,C++,11,8.1,3,Yes,52.2%,42.73%,42.4%,224,
2,2023-04-17,13.08,GPT4,"273. Integer to English Words
",Math,Hard,C++,2,6.9,1,Yes,80.16%,70.8%,30.0%,273,
,,,,,,,,,,,,,,,,
2,2023-04-18,16.31,GPT4,202. Happy Number,Hash Table,Easy,C++,0,5.8,1,Yes,100%,90.57%,54.9%,202,
2,2023-04-18,16.40,GPT4,205. Isomorphic Strings,Hash Table,Easy,C++,11,7.1,1,Yes,34.47%,16.57%,42.9%,205,
2,2023-04-18,16.44,GPT4,242. Valid Anagram,Hash Table,Easy,C++,6,7.4,1,Yes,82.29%,16.44%,63.1%,242,
2,2023-04-18,16.56,GPT4,49. Group Anagrams,Hash Table,Medium,C++,27,18.4,1,Yes,96.22%,93.39%,66.8%,49,
2,2023-04-18,17.00,GPT4,12. Integer to Roman,Hash Table,Medium,C++,20,8.7,1,Yes,13.55%,37.24%,62.1%,12,
2,2023-04-18,17.08,GPT4,139. Word Break,Hash Table,Medium,C++,19,13.3,1,Yes,41.3%,41.54%,45.6%,139,
2,2023-04-18,17.12,GPT4,41. First Missing Positive,Hash Table,Hard,C++,70,41.1,1,Yes,50.91%,58.14%,36.8%,41,
2,2023-04-18,17.22,GPT4,632. Smallest Range Covering Elements from K Lists,Hash Table,Hard,C++,55,14.5,1,Yes,86.44%,78.5%,61.0%,632,
2,2023-04-18,17.29,GPT4,815. Bus Routes,Hash Table,Hard,C++,322,109.1,1,Yes,31.28%,10.68%,45.6%,815,
,,,,,,,,,,,,,,,,
2,2023-04-18,17.34,GPT4,35. Search Insert Position,Binary Search,Easy,C++,6,9.7,1,Yes,41.35%,37.19%,43.5%,35,
2,2023-04-18,17.41,GPT4,268. Missing Number,Binary Search,Easy,C++,20,18,1,Yes,68.40%,24.49%,62.7%,268,
2,2023-04-19,14.10,GPT4,278. First Bad Version,Binary Search,Easy,C++,0,6,1,Yes,100%,7.84%,43.4%,278,
2,2023-04-19,14.16,GPT4,162. Find Peak Element,Binary Search,Medium,C++,4,8.9,1,Yes,72.63%,31.53%,46.0%,162,
2,2023-04-19,14.22,GPT4,456. 132 Pattern,Binary Search,Medium,C++,84,38.3,1,Yes,"31.9%
",28.63%,32.4%,456,
2,2023-04-19,14.29,GPT4,540. Single Element in a Sorted Array,Binary Search,Medium,C++,31,22.2,1,Yes,48.65%,93.68%,59.1%,540,
2,2023-04-19,14.33,GPT4,154. Find Minimum in Rotated Sorted Array II,Binary Search,Hard,C++,8,12.1,1,Yes,42.58%,96.52%,43.5%,154,
2,2023-04-19,14.40,GPT4,315. Count of Smaller Numbers After Self,Binary Search,Hard,C++,1080,306.8,1,Yes,28.35%,24.94%,42.5%,315,
2,2023-04-19,14.46,GPT4,354. Russian Doll Envelopes,Binary Search,Hard,C++,380,77.6,1,Yes,73.20%,71.19%,37.9%,354,
,,,,,,,,,,,,,,,,
2,2023-04-19,16.23,GPT4,70. Climbing Stairs,Dynamic Programming,Easy,C++,3,6.3,1,Yes,38.73%,22.95%,52.2%,70,
2,2023-04-19,16.31,GPT4,338. Counting Bits,Dynamic Programming,Easy,C++,4,7.9,1,Yes,82.52%,52.39%,75.8%,338,
2,2023-04-19,16.37,GPT4,392. Is Subsequence,Dynamic Programming,Easy,C++,0,6.3,1,Yes,100.0%,91.49%,47.5%,392,
2,2023-04-19,16.44,GPT4,22. Generate Parentheses,Dynamic Programming,Medium,C++,4,13.8,1,Yes,63.36%,50.57%,72.6%,22,
2,2023-04-19,16.52,GPT4,53. Maximum Subarray,Dynamic Programming,Medium,C++,122,67.8,1,Yes,39.43%,16.57%,50.2%,53,
2,2023-04-19,17.00,GPT4,91. Decode Ways,Dynamic Programming,Medium,C++,5,6.2,1,Yes,27.50%,52.2%,32.8%,91,
2,2023-04-19,17.08,GPT4,32. Longest Valid Parentheses,Dynamic Programming,Hard,C++,8,7.3,1,Yes,28.87%,46.30%,32.8%,32,
2,2023-04-20,15.04,GPT4,44. Wildcard Matching,Dynamic Programming,Hard,C++,92,11.3,1,Yes,32.87%,64.74%,27.0%,44,
2,2023-04-20,15.11,GPT4,72. Edit Distance,Dynamic Programming,Hard,C++,11,8.9,1,Yes,77.18%,60.22%,54.5%,72,
,,,,,,,,,,,,,,,,
2,2023-04-20,15.25,GPT4,455. Assign Cookies,Greedy,Easy,C++,36,17.5,1,Yes,31.66%,86.19%,49.9%,455,
2,2023-04-20,15.29,GPT4,561. Array Partition,Greedy,Easy,C++,62,28.2,1,Yes,29.40%,56.67%,77.3%,561,
2,2023-04-20,15.36,GPT4,605. Can Place Flowers,Greedy,Easy,C++,21,20.4,1,Yes,39.41%,30.96%,32.8%,605,
2,2023-04-20,15.41,GPT4,122. Best Time to Buy and Sell Stock II,Greedy,Medium,C++,3,13.1,1,Yes,95.56%,35.37%,63.9%,122,
2,2023-04-20,15.47,GPT4,134. Gas Station,Greedy,Medium,C++,136,108.7,1,Yes,63.62%,53.93%,46.1%,134,
2,2023-04-20,15.59,GPT4,45. Jump Game II,Greedy,Medium,C++,16,16.7,1,Yes,70.66%,51.40%,39.9%,45,
2,2023-04-20,16.04,GPT4,135. Candy,Greedy,Hard,C++,19,17.8,1,Yes,85.31%,60.53%,41.0%,135,
2,2023-04-20,16.14,GPT4,321. Create Maximum Number,Greedy,Hard,C++,34,21.3,1,Yes,86.28%,67.38%,29.1%,321,
2,2023-04-20,16.18,GPT4,420. Strong Password Checker,Greedy,Hard,C++,3,6.1,1,Yes,42.43%,74.48%,13.8%,420,
,,,,,,,,,,,,,,,,
2,2023-04-20,16.26,GPT4,225. Implement Stack using Queues,Stack,Easy,C++,4,7,1,Yes,34.33%,38.36%,58.7%,225,
2,2023-04-20,16.33,GPT4,496. Next Greater Element I,Stack,Easy,C++,10,9,1,Yes,46.34%,21.4%,71.4%,496,
2,2023-04-20,16.41,GPT4,682. Baseball Game,Stack,Easy,C++,8,8.4,1,Yes,27.68%,72.43%,74.4%,682,
2,2023-04-20,16.47,GPT4,155. Min Stack,Stack,Medium,C++,20,16.4,1,Yes,85.55%,64.73%,52.4%,155,
2,2023-04-20,16.52,GPT4,71. Simplify Path,Stack,Medium,C++,8,10.8,1,Yes,45.56%,10.88%,40.6%,71,
2,2023-04-20,16.59,GPT4,739. Daily Temperatures,Stack,Medium,C++,218,103.1,1,Yes,41.63%,49.95%,66.3%,739,
2,2023-04-21,13.20,GPT4,736. Parse Lisp Expression,Stack,Hard,C++,-,-,1,No,-,-,51.6%,736,
2,2023-04-21,13.26,GPT4,736. Parse Lisp Expression,Stack,Hard,C++,-,-,2,No,-,-,51.6%,736,
2,2023-04-21,13.36,GPT4,736. Parse Lisp Expression,Stack,Hard,C++,-,-,3,No,-,-,51.6%,736,
2,2023-04-21,13.43,GPT4,591. Tag Validator,Stack,Hard,C++,-,-,1,No,-,-,37.2%,591,
2,2023-04-21,13.49,GPT4,591. Tag Validator,Stack,Hard,C++,-,-,2,No,-,-,37.2%,591,
2,2023-04-21,13.54,GPT4,591. Tag Validator,Stack,Hard,C++,-,-,3,No,-,-,37.2%,591,
2,2023-04-21,14.00,GPT4,726. Number of Atoms,Stack,Hard,C++,7,7.6,1,Yes,14.13%,12.68%,52.2%,726,
,,,,,,,,,,,,,,,,
2,2023-04-21,14.03,GPT4,232. Implement Queue using Stacks,Queue,Easy,C++,2,7,1,Yes,43.45%,81.74%,63.3%,232,
2,2023-04-21,14.07,GPT4,387. First Unique Character in a String,Queue,Easy,C++,23,10.6,1,Yes,78.93%,93.22%,59.7%,387,
2,2023-04-21,14.14,GPT4,933. Number of Recent Calls,Queue,Easy,C++,165,57.4,1,Yes,22.78%,91.21%,73.2%,933,
